08:57:23.993 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.huishuo.hdata.service.JobManagerServiceTest], using SpringBootContextLoader
09:02:11.726 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.huishuo.hdata.service.JobManagerServiceTest], using SpringBootContextLoader
09:02:11.738 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.huishuo.hdata.service.JobManagerServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
09:02:11.739 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.huishuo.hdata.service.JobManagerServiceTest]: JobManagerServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
09:02:11.959 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.huishuo.JobManagerApplication for test class com.huishuo.hdata.service.JobManagerServiceTest
09:02:12.133 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener]
09:02:12.161 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@70325e14, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@37ceb1df, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@7c9d8e2, org.springframework.test.context.support.DirtiesContextTestExecutionListener@20d525, org.springframework.test.context.transaction.TransactionalTestExecutionListener@6200f9cb, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@2002fc1d, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@69453e37, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@6f4a47c7, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@ae13544, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@3d34d211, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@7dc0f706]
09:02:12.807 [main] INFO  c.h.h.service.JobManagerServiceTest - Starting JobManagerServiceTest on lixiaobai with PID 27508 (started by haoyue in C:\Users\haoyu\Documents\Project\hdata\jobmanager)
09:02:12.808 [main] INFO  c.h.h.service.JobManagerServiceTest - No active profile set, falling back to default profiles: default
09:02:13.664 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
09:02:13.724 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 41ms. Found 0 repository interfaces.
09:02:14.855 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
09:02:15.118 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
09:02:15.297 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
09:02:15.437 [main] INFO  org.hibernate.Version - HHH000412: Hibernate Core {5.3.10.Final}
09:02:15.441 [main] INFO  org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
09:02:15.699 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.0.4.Final}
09:02:16.036 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
09:02:16.384 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
09:02:16.850 [main] INFO  c.h.h.service.JobManagerServiceTest - Started JobManagerServiceTest in 4.618 seconds (JVM running for 6.99)
09:02:16.997 [main] INFO  com.huishuo.hdata.util.FileTool - file is not exists, create new file. file=C:\tmp\JobName_4.xml
09:02:17.070 [Thread-2] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
09:02:17.074 [Thread-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
09:02:17.086 [Thread-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
14:40:21.370 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.huishuo.hdata.service.JobManagerServiceTest], using SpringBootContextLoader
14:40:21.381 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.huishuo.hdata.service.JobManagerServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
14:40:21.381 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.huishuo.hdata.service.JobManagerServiceTest]: JobManagerServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
14:40:21.790 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.huishuo.JobManagerApplication for test class com.huishuo.hdata.service.JobManagerServiceTest
14:40:21.998 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener]
14:40:22.030 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@59b38691, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@2e2ff723, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@324a0017, org.springframework.test.context.support.DirtiesContextTestExecutionListener@6187d1f5, org.springframework.test.context.transaction.TransactionalTestExecutionListener@2445445a, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@7502291e, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@17aad511, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@487db668, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@46944ca9, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@22bac7bc, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@63798ca7]
